film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
3,"ADAPTATION HOLES","A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory",2006,1,NULL,7,2.99,50,18.99,NC-17,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
4,"AFFAIR PREJUDICE","A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank",2006,1,NULL,5,2.99,117,26.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
7,"AIRPLANE SIERRA","A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat",2006,1,NULL,6,4.99,62,28.99,PG-13,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
8,"AIRPORT POLLOCK","A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India",2006,1,NULL,6,4.99,54,15.99,R,Trailers,"2006-02-15 05:03:42"
9,"ALABAMA DEVIL","A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat",2006,1,NULL,3,2.99,114,21.99,PG-13,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
10,"ALADDIN CALENDAR","A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China",2006,1,NULL,6,4.99,63,24.99,NC-17,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
18,"ALTER VICTORY","A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies",2006,1,NULL,6,0.99,57,27.99,PG-13,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
19,"AMADEUS HOLY","A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon",2006,1,NULL,6,0.99,113,20.99,PG,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
32,"APOCALYPSE FLAMINGOS","A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park",2006,1,NULL,6,4.99,119,11.99,R,"Trailers,Commentaries","2006-02-15 05:03:42"
34,"ARABIA DOGMA","A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria",2006,1,NULL,6,0.99,62,29.99,NC-17,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
